code,name
ATCM 4V96,"Independent Study in Arts, Technology, and Emerging Communication"
BA 1100,Business Basics
BA 1310,Making Choices in Free Market Systems
BA 1320,Business in a Global World
BA 3100,Professional Development
BA 3200,Introduction to Business and Professional Development
BA 3300,Advanced Topics in Capitalism: Ideas and Challenges That Shape Our World
BA 4010,ENACTUS Participation
BA 4070,Conference Attendance US
BA 4071,Conference Attendance International
BA 4072,Conference Presentation US
BA 4073,Conference Presentation International
BA 4074,Student Leadership and Mentoring
BA 4080,Participation in Internal Competition
BA 4081,Participation in Local Competition
BA 4082,Participation in Regional Competition
BA 4083,Participation in National Competition
BA 4090,Management Internship
BA 4095,Social Sector Engagement and Community Outreach Practicum
BA 4101,Careers in Management
BA 4V00,Special Topics
BA 4V10,ENACTUS Service
BA 4V90,Management Internship
BBSU 1100,First Year Seminar
BBSU 3310,Community-Based Service Learning
BCOM 1300,Introduction to Professionalism and Communication in Business
BCOM 3100,Professional Development
BCOM 3200,Introduction to Business and Professional Development
BCOM 3300,Professionalism and Communication in Business
BCOM 3310,Business Communication
BCOM 4300,Managing Communications in Business
BCOM 4310,Strategic Business Communications
BCOM 4350,Advanced Business Communication
BIOL 1300,Body Systems with Lab
BIOL 1318,Human Genetics
BIOL 1350,Body Systems
BIOL 1V00,Topics in Biological Sciences
BIOL 1V01,Topics in Biological Sciences with Lab
BIOL 1V95,Individual Instruction in Biology
BIOL 2111,Introduction to Modern Biology Workshop I
BIOL 2112,Introduction to Modern Biology Workshop II
BIOL 2281,Introductory Biology Laboratory
BIOL 2311,Introduction to Modern Biology I
BIOL 2312,Introduction to Modern Biology II
BIOL 2350,Biological Basis of Health and Disease
BIOL 2V00,Topics in Biological Sciences
BIOL 2V01,Topics in Biological Sciences with Lab
BIOL 2V95,Individual Instruction in Biology
BIOL 3101,Classical and Molecular Genetics Workshop
BIOL 3102,Eukaryotic Molecular and Cell Biology Workshop
BIOL 3161,Biochemistry Workshop I
BIOL 3162,Biochemistry Workshop II
BIOL 3301,Classical and Molecular Genetics
BIOL 3302,Eukaryotic Molecular and Cell Biology
BIOL 3303,Introduction to Microbiology
BIOL 3305,Evolutionary Analysis
BIOL 3312,Introduction to Programming for Biological Sciences
BIOL 3315,Epigenetics
BIOL 3318,Forensic Biology
BIOL 3320,Applied Genetics
BIOL 3335,Microbial Physiology
BIOL 3336,Protein and Nucleic Acid Structure
BIOL 3351,Medical Cell Biology
BIOL 3355,Clinical Pathophysiology
BIOL 3357,Mammalian Physiology with Lab
BIOL 3361,Biochemistry I
BIOL 3362,Biochemistry II
BIOL 3370,Exercise Physiology
BIOL 3380,Biochemistry Laboratory
BIOL 3385,Medical Histology
BIOL 3388,Honey Bee Biology
BIOL 3455,Human Anatomy and Physiology with Lab I
BIOL 3456,Human Anatomy and Physiology with Lab II
BIOL 3520,General Microbiology with Lab
BIOL 3V00,Topics in Biological Sciences
BIOL 3V01,Topics in Biological Sciences with Lab
BIOL 3V15,Research Practicum for UT-PACT
BIOL 3V40,Topics in Molecular and Cell Biology
BIOL 3V81,Clinical Medicine I
BIOL 3V82,Clinical Medicine II
BIOL 3V83,Clinical Medicine III
BIOL 3V84,Clinical Medicine IV
BIOL 3V90,Undergraduate Readings in Biology
BIOL 3V91,Undergraduate Research in Biology
BIOL 3V93,Undergraduate Research in Biochemistry
BIOL 3V94,Topics in Biology: Individual Instruction
BIOL 3V96,Undergraduate Research in Molecular and Cell Biology
BIOL 4302,TA Apprenticeship
BIOL 4305,Molecular Evolution
BIOL 4310,Cellular Microbiology
BIOL 4315,"Genes, Disease and Therapeutics"
BIOL 4317,Cellular and Molecular Medicine of Human Diseases
BIOL 4320,Cell Migration in Health and Disease
BIOL 4325,Nutrition and Metabolism
BIOL 4330,Advanced Research in Molecular and Cell Biology
BIOL 4337,Seminal Papers in Biology
BIOL 4341,Genomics
BIOL 4345,Immunobiology
BIOL 4350,Medical Microbiology
BIOL 4353,Molecular Biology of HIV/AIDS
BIOL 4356,Molecular Neuropathology
BIOL 4357,Molecular Neuropathology II
BIOL 4360,Evolution and Development
BIOL 4365,Advanced Human Physiology
BIOL 4366,Molecular Biology of Cancer
BIOL 4371,General and Molecular Virology
BIOL 4380,Cell and Molecular Biology Laboratory
BIOL 4385,Oral Histology and Embryology
BIOL 4390,Senior Readings in Molecular and Cell Biology
BIOL 4391,Senior Research in Molecular and Cell Biology
BIOL 4399,Senior Honors Research for Thesis in Molecular and Cell Biology
BIOL 4461,Biophysical Chemistry
BIOL 4V00,Special Topics in Biology
BIOL 4V01,Topics in Biological Sciences with Lab
BIOL 4V40,Special Topics in Molecular and Cell Biology
BIOL 4V95,Advanced Topics in Biology
BIOL 4V99,Senior Honors Research in Molecular and Cell Biology
BIS 1100,Interdisciplinary Studies Freshman Seminar
BIS 2190,Library Research Skills
BIS 2V90,Topics in Interdisciplinary Studies
BIS 3320,The Nature of Intellectual Inquiry
BIS 3V03,Educational Issues
BIS 4303,Senior Honors in Interdisciplinary Studies
BIS 4306,Strategies for Diversity in Education
BIS 4310,Co-op Education
BIS 4V01,Special Topics
BIS 4V02,Independent Study
BIS 4V04,Internship
BLAW 2301,Business and Public Law
BLAW 3301,Employment Law
BLAW 4301,International Law
BLAW 4305,Introduction to Patent Law
BLAW 4310,Current Issues in Business and Law
BMEN 1100,Introduction to Bioengineering I
BMEN 1208,Introduction to Bioengineering II
BMEN 2320,Statics
BMEN 2V99,Topics in Biomedical Engineering
BMEN 3110,Biomedical Transport Processes Laboratory
BMEN 3120,Biomedical Circuits and Instrumentation Laboratory
BMEN 3130,Engineering Physiology Laboratory
BMEN 3150,Biomedical Engineering Laboratory
BMEN 3170,Digital Circuits Laboratory
BMEN 3200,Biomedical Engineering Fundamentals and Design
BMEN 3220,Electrical and Electronic Circuits in Biomedical Engineering Lab
BMEN 3302,Bioengineering Signals and Systems
BMEN 3310,Fluid Mechanics and Transport Processes in Biomedical Engineering
BMEN 3315,Thermodynamics and Physical Chemistry in Biomedical Engineering
BMEN 3318,Introduction to Engineered Biomaterials
BMEN 3320,Electrical and Electronic Circuits in Biomedical Engineering
BMEN 3325,Advanced Computational Tools for Biomedical Engineering
BMEN 3330,Engineering Physiology of the Human Body
BMEN 3331,Cell and Molecular Engineering
BMEN 3332,Quantitative Physiology for Engineers
BMEN 3350,Biomedical Component and System Design
BMEN 3360,Thermodynamics
BMEN 3370,Digital Circuits
BMEN 3380,Medical Imaging Systems and Methods
BMEN 3399,Introductory Biomechanics
BMEN 3402,Signals and Systems for Biomedical Engineering
BMEN 3V99,Topics in Biomedical Engineering
BMEN 4110,Biomedical Feedback Systems Laboratory
BMEN 4301,Introduction to Medical Device Development
BMEN 4310,Feedback Systems in Biomedical Engineering
BMEN 4320,Intermediate Electrical Systems
BMEN 4342,Introduction to Robotics
BMEN 4350,Applied Sensor Technology
BMEN 4355,Finite Element Analysis in Biomedical Engineering
BMEN 4360,Biomaterials and Medical Devices
BMEN 4370,Biomedical Image Processing
BMEN 4375,Biomedical Engineering Data Analysis
BMEN 4388,Senior Design Project I
BMEN 4389,Senior Design Project II
BMEN 4399,Senior Honors in Biomedical Engineering
BMEN 4V95,Undergraduate Topics in Biomedical Engineering
BMEN 4V97,Independent Study in Biomedical Engineering
BMEN 4V98,Engineering Practicum
BPS 4305,Strategic Management
BPS 4307,"Corporations, Politics and Society"
BPS 4395,Capstone Senior Project - Business
CGS 2301,Cognitive Science
CGS 3325,Historical Perspectives on Psychology: Mind and Machines since 1600
CGS 3340,Experimental Projects in Cognitive Science
CGS 3342,Cognitive and Neural Modeling Laboratory
CGS 3361,Cognitive Psychology
CGS 4193,Internship Preparation
CGS 4314,Intelligent Systems Analysis
CGS 4315,Intelligent Systems Design
CGS 4320,Psychology of Reasoning
CGS 4352,Human Computer Interactions I
CGS 4353,Human Computer Interactions II
CGS 4359,Cognitive Neuroscience
CGS 4362,Perception
CGS 4364,Attention and Memory
CGS 4385,Neuropsychology
CGS 4386,Adult Development and Aging
CGS 4389,Developmental Cognitive Neuroscience
CGS 4390,Directed Research and Writing
CGS 4391,Writing and Independent Study
CGS 4394,Internship in Cognitive Science
CGS 4395,Co-op Fieldwork
CGS 4397,Thesis Research
CGS 4V75,Honors Seminar
CGS 4V90,Special Topics in Cognitive Science
CGS 4V96,Teaching Internship
CGS 4V98,Directed Research
CGS 4V99,Individual Study
CHIN 1311,Beginning Chinese I
CHIN 1312,Beginning Chinese II
CHIN 2311,Intermediate Chinese I
CHIN 2312,Intermediate Chinese II
CHIN 2350,Business Chinese
CHIN 3330,Medical Chinese
CHIN 3365,Advanced Chinese I
CHIN 4301,Advanced Chinese Conversation
CHIN 4364,Advanced Chinese Culture
CLDP 2314,Lifespan Development
CLDP 3303,Normal Language Development
CLDP 3305,Language and Literacy Development
CLDP 3310,Child Development
CLDP 3332,Social and Personality Development
CLDP 3336,Infancy
CLDP 3338,Adolescence
CLDP 3339,Educational Psychology
CLDP 3342,Exceptional Children
CLDP 3343,Children in a Changing World
CLDP 3362,Cognitive Development
CLDP 3365,Child Learning
CLDP 3366,Motivation and Achievement
CLDP 3394,Research and Evaluation Methods
CLDP 3494,Research and Evaluation Methods
CLDP 4193,Internship Preparation
CLDP 4308,Language Disorders in Children
CLDP 4344,Child Psychopathology
CLDP 4345,Violence in the Family
CLDP 4347,Marriage and Family Psychology
CLDP 4389,Developmental Cognitive Neuroscience
CLDP 4390,Directed Research and Writing
CLDP 4391,Individual Study and Writing
CLDP 4394,Internship
CLDP 4395,Co-op Fieldwork
CLDP 4397,Thesis Research
CLDP 4V75,Honors Seminar
CLDP 4V90,Special Topics in Child Learning and Development
CLDP 4V96,Teaching Internship
CLDP 4V98,Directed Research
CLDP 4V99,Individual Study
COMM 1311,Survey of Oral and Technology-based Communication
COMM 1315,Public Speaking
COMM 1320,Interpersonal Communication
COMM 2314,Oral Interpretation
COMM 2317,Topics in Communication
COMM 2V71,Independent Study in Communications
COMM 3320,Readers' Theater
COMM 3321,Advanced Public Speaking
COMM 3340,Small Group Communication
COMM 3342,Advanced Topics in Communication
COMM 3350,Intercultural Communication
COMM 3351,History and Theory of Communication
COMM 3352,Media and Culture
COMM 4305,Communications Law
COMM 4314,Persuasion and Interpersonal Influence
COMM 4360,Communication Ethics
COMM 4370,Communication and Leadership
COMM 4371,Communication and Professionalism
COMM 4375,Professional Communication in Medicine
COMM 4V71,Advanced Independent Study in Communication
CRIM 1301,Introduction to Criminal Justice
CRIM 1307,Introduction to Crime and Criminology
CRIM 2306,Criminal Law
CRIM 2308,Juvenile Law
CRIM 2313,Police and Society
CRIM 2316,Corrections
CRIM 2317,Criminal Prosecution and Court Process
CRIM 3300,Crime and Civil Liberties
CRIM 3301,Theories of Justice
CRIM 3302,Advanced Criminology
CRIM 3303,Advanced Criminal Justice
CRIM 3304,Research Methods in Crime and Justice Studies
CRIM 3307,Immigration and Crime
CRIM 3309,Media and Crime
CRIM 3310,Youth Crime and Justice
CRIM 3311,"American Crime: Truths, Half-Truths, and Lies"
CRIM 3312,Drugs and Crime
CRIM 3319,Comparative Justice Systems
CRIM 3320,Homicide and Capital Punishment
CRIM 3323,Violence and Gun Control
CRIM 3324,"Gender, Crime, and Justice"
CRIM 3325,Victimology
CRIM 3326,Victimless Crimes
CRIM 3327,Violent Crime
CRIM 4311,Crime and Justice Policy
CRIM 4315,"Race, Ethnicity, and Justice"
CRIM 4322,Senior Research Seminar
CRIM 4323,Communities and Crime
CRIM 4324,White Collar Crime
CRIM 4336,Introduction to Terrorism
CRIM 4337,Landmark Supreme Court Cases
CRIM 4396,Selected Topics in Criminology
CRIM 4V97,Independent Study in Criminology
CRIM 4V98,Internship in Criminology
CRIM 4V99,Senior Honors in Criminology
CRWT 2301,Introduction to Creative Writing
CRWT 2V71,Independent Study in Creative Writing
CRWT 3306,Fiction Workshop
CRWT 3308,Nonfiction Workshop
CRWT 3330,Translation Workshop
CRWT 3351,Poetry Workshop
CRWT 3354,Screenwriting
CRWT 4307,Advanced Fiction Workshop
CRWT 4353,Advanced Poetry Workshop
CRWT 4V71,Independent Study in Creative Writing
DANC 1305,Introduction to World Dance Forms
DANC 1310,Understanding Dance
DANC 2311,Topics in Dance
DANC 2321,"Stretch, Conditioning, Alignment"
DANC 2331,Dance Technique 1
DANC 2332,Modern Dance 1
DANC 2333,Jazz Dance 1
DANC 2334,Ballet 1
DANC 2336,Tap Dance 1
DANC 2V71,Independent Study in Dance
DANC 3332,Dance Technique 2
DANC 3333,Modern Dance 2
DANC 3334,Jazz Dance 2
DANC 3335,Ballet 2
DANC 3336,Latin Social Dance
DANC 3340,Dance in Historical Context
DANC 3342,Advanced Topics in Dance
DANC 3345,Dance Performance
DANC 3347,Dance Composition
DANC 4313,Dance Technique 3
DANC 4314,Modern Dance 3
DANC 4315,Ballet 3
DANC 4316,Jazz Dance 3
DANC 4317,Dance Performance 2
DANC 4318,Dance Technique 4
DANC 4V71,Independent Study in Dance
ECON 2001,Principles of Macroeconomics: Recitation
ECON 2301,Principles of Macroeconomics
ECON 2302,Principles of Microeconomics
ECON 3310,Intermediate Microeconomic Theory
ECON 3311,Intermediate Macroeconomic Theory
ECON 3312,Money and Banking
ECON 3315,Sports Economics
ECON 3330,Economics of Health
ECON 3332,Economic Geography
ECON 3336,Economics of Education
ECON 3337,Economics of Poverty and Inequality
ECON 3369,Political Economy of Terrorism
ECON 3381,Economic History
ECON 4301,Game Theory
ECON 4302,Urban and Regional Economics
ECON 4310,Managerial Economics
ECON 4320,Public Sector Economics
ECON 4330,Law and Economics
ECON 4332,Energy and Natural Resources Economics
ECON 4333,Environmental Economics
ECON 4334,Experimental Economics
ECON 4336,Environmental Economic Theory and Policy
ECON 4340,Labor Economics and Human Resources
ECON 4342,Public Policies Toward Business
ECON 4345,Industrial Organization
ECON 4346,"Technology, Economy, and Society"
ECON 4348,Business and Technology
ECON 4351,Mathematical Economics
ECON 4355,Econometrics
ECON 4360,International Trade
ECON 4362,Development Economics
ECON 4381,History of Economic Ideas
ECON 4382,International Finance
ECON 4385,Business and Economic Forecasting
ECON 4396,Selected Topics in Economics
ECON 4V97,Independent Study in Economics
ECON 4V98,Internship
ECON 4V99,Senior Honors in Economics
ECSC 3177,CS IPP Assignment
ECSC 3179,ENG IPP Assignment
ECSC 4300,Student Apprenticeship and Mentoring
ECSC 4378,Professional Industrial Practice Program
ED 3314,The American Public School
ED 3315,Children's Literature
ED 3339,Educational Psychology for Teachers
ED 3340,Math Concepts for Teachers
ED 3342,Classroom Management Grades EC - 6
ED 3345,"Art, Music, and Physical Development Grades EC - 6"
ED 3370,Curriculum and Instruction in Mathematics and Computer Science
ED 3371,Curriculum and Instruction in the Natural Sciences
ED 3380,Curriculum and Instruction in English
ED 3382,Curriculum and Instruction in Social Studies
ED 4343,Science Methods for Grades EC - 6
ED 4344,Mathematics Methods for Elementary Teachers
ED 4345,Social Studies Methods for Grades EC - 6
ED 4351,ESL for K-12 Teachers
ED 4352,Reading I: Learning to Read
ED 4353,Reading in Secondary Content
ED 4357,Diagnostic Reading
ED 4358,Chess I: Using Chess in Schools
ED 4359,Chess II: Institutional and Cultural Contexts of Chess
ED 4361,Classroom Management Secondary
ED 4363,Reading II/ELAR Methods
ED 4372,Educational Technology
ED 4693,Student Teaching - Elementary
ED 4694,Student Teaching Secondary
ED 4V90,Independent Study in Education
ED 4V95,Special Topics in Education
ENGY 3300,Introduction to Energy Technology
ENGY 3301,"Managing Carbon Assets: Oil, Gas, and Coal"
ENGY 3302,Managing Power and Renewable Energy Assets; Sustainability
ENGY 3330,Energy Economics
ENGY 3340,Energy Law and Contracts
ENGY 4300,Energy Land Management
ENGY 4313,Energy Finance
ENTP 3301,Innovation and Entrepreneurship
ENTP 3320,Start-up Launch I
ENTP 3321,Start-up Launch II
ENTP 3360,Entrepreneurial Finance
ENTP 4090,Innovation and Entrepreneurship Internship
ENTP 4311,Entrepreneurial Strategy and Business Models
ENTP 4320,Small Business Management
ENTP 4330,Entrepreneurial Marketing
ENTP 4331,Digital Prospecting
ENTP 4335,Digital and Internet Marketing
ENTP 4340,Social Sector Entrepreneurship and Community Engagement
ENTP 4350,Corporate Entrepreneurship
ENTP 4360,Innovation and Creativity
ENTP 4395,Capstone Senior Project - Entrepreneurship
ENTP 4V00,Special Topics in Entrepreneurship
ENTP 4V90,Innovation and Entrepreneurship Internship
ENVR 2302,The Global Environment
EPCS 2100,Engineering Project in Community Service
EPCS 2200,Engineering Projects in Community Service
EPCS 3100,Engineering Project in Community Service II
EPCS 3200,Engineering Projects in Community Service II
EPPS 1110,Critical Issues in the Social Sciences
EPPS 2301,Research Design in the Social and Policy Sciences
EPPS 2302,Methods of Quantitative Analysis in the Social and Policy Sciences
EPPS 2305,Spatial Thinking and Data Analytics
EPPS 3301,"Special Topics In Economic, Political and Policy Sciences"
EPPS 3310,Community-Based Service Learning
FILM 1303,Transnational Film and Video
FILM 2332,Understanding Film
FILM 2V71,Independent Study in Film
FILM 3321,Film in Historical Context
FILM 3325,Film Authorship
FILM 3342,Topics in Film
FILM 4V71,Independent Study in Film
FREN 1311,Beginning French I
FREN 1312,Beginning French II
FREN 2311,Intermediate French I
FREN 2312,Intermediate French II
GEOG 2302,The Global Environment
GEOG 2303,People and Place: An Introduction to World Geographic Regions
GEOG 3304,Principles of Geospatial Information Sciences
GEOG 3331,Urban Growth and Structure
GEOG 3357,Spatial Dimensions of Health and Disease
GEOG 3359,Human Migration and Mobility: Global Patterns
GEOG 3370,The Global Economy
GEOG 3372,Population and Development
GEOG 3377,Urban Planning and Policy
GEOG 3382,"Russia: Yesterday, Today, and Tomorrow"
GEOG 4309,Urban Development
GEOG 4380,Spatial Concepts and Organization
GEOG 4396,Selected Topics in Geography
GEOG 4V97,Independent Study in Geography
GEOS 1103,Physical Geology Laboratory
GEOS 1104,History of Earth and Life Laboratory
GEOS 1303,Physical Geology
GEOS 1304,History of Earth and Life
GEOS 2302,The Global Environment
GEOS 2305,Spatial Thinking and Data Analytics
GEOS 2306,Essentials of Field Geologic Methods
GEOS 2310,Environmental Geology
GEOS 2321,"Geology, Resources, and Environment of Latin America"
GEOS 2324,"Energy, the Environment and Human Health"
GEOS 2328,Geologic Time: An Historical Perspective
GEOS 2332,Age of Dinosaurs
GEOS 2333,Introduction to Fossils
GEOS 2409,Rocks and Minerals
GEOS 2V08,Special Topics in Geology or Geophysics I
GEOS 3122,Coal in Our Society
GEOS 3124,"Energy, the Environment and Human Health"
GEOS 3300,Field Geology I
GEOS 3304,Principles of Geospatial Information Sciences
GEOS 3421,Stratigraphy and Sedimentology
GEOS 3434,Paleobiology
GEOS 3464,Igneous and Metamorphic Petrology
GEOS 3470,Structural Geology
GEOS 4300,Field Geology II
GEOS 4320,The Physics and Chemistry of the Solid Earth
GEOS 4322,The Earth System
GEOS 4325,Introduction to Remote Sensing
GEOS 4369,Volcanic Successions
GEOS 4390,Communication in the Geosciences
GEOS 4391,Geoscience Animations and Video
GEOS 4399,Senior Honors in Geosciences
GEOS 4430,Hydrogeology and Aqueous Geochemistry
GEOS 4V08,Special Topics in Geology or Geophysics II
GEOS 4V09,Senior Research in Geology
GEOS 4V80,Senior Research in Geophysics
GERM 1311,Beginning German I
GERM 1312,Beginning German II
GERM 2311,Intermediate German I
GERM 2312,Intermediate German II
GERM 2350,Business German
GISC 2302,Geodesy and Geospatial Analysis
GISC 2305,Spatial Thinking and Data Analytics
GISC 3304,Principles of Geospatial Information Sciences
GISC 4310,Environmental and Health Policy in East Asia
GISC 4317,GeoComputation
GISC 4325,Introduction to Remote Sensing
GISC 4326,Cartography and GeoVisualization
GISC 4363,Internet Mapping and Information Processing
GISC 4380,Spatial Concepts and Organization
GISC 4381,Spatial Data Science
GISC 4382,Applied Geographic Information Systems
GISC 4384,Health and Environmental GIS: A Global Perspective
GISC 4385,Advanced Applications in GIS
GISC 4386,Global Change and Its Challenges
GISC 4V96,Special Topics in Geospatial Information Science
GISC 4V97,Independent Study in Geospatial Information Science
GISC 4V98,Internship
GOVT 2107,Federal and Texas Constitutions
GOVT 2305,American National Government
GOVT 2306,State and Local Government
GST 2300,Introduction to Gender Studies
GST 2311,Social Change and Photography in America
GST 2V90,Topics in Gender Studies
GST 3301,Psychology of Gender
GST 3302,Gender in Western Thought
GST 3303,"Gender, Society and Politics"
GST 4325,Motherhood and the Technological Womb
GST 4360,Rebels and Reformers: Women and Alcohol in America
GST 4379,Special Topics in Gender Studies
GST 4380,"Women, Work and Family"
GST 4381,Senior Honors Research
GST 4382,Senior Honors in Gender Studies
GST 4V80,Independent Study
HIST 1301,U.S. History Survey to Civil War
HIST 1302,U.S. History Survey from Civil War
HIST 2301,History of Texas
HIST 2330,Themes and Ideas in American History
HIST 2340,Middle East Civilizations
HIST 2341,East Asian Civilizations
HIST 2350,Latin American Civilizations
HIST 2370,The Holocaust
HIST 2381,African-American History
HIST 2384,U.S. Women from Settlement to Present
HIST 2V71,Independent Study in Historical Studies
HIST 3301,Historical Inquiry
HIST 3302,Gender in Western Thought
HIST 3305,War and Genocide in the 20th Century
HIST 3306,History of Racism
HIST 3312,Early China
HIST 3313,Medieval China
HIST 3314,Tang Dynasty China
HIST 3319,Early Modern Europe
HIST 3320,Modern Europe
HIST 3324,Women in Modern European Society
HIST 3327,Perspectives on Science
HIST 3328,History and Philosophy of Science and Medicine
HIST 3337,Technology and Western Civilization
HIST 3340,US South through the Civil War
HIST 3341,US South since the Civil War
HIST 3344,History of Science in Europe
HIST 3346,Medieval Islamic World
HIST 3364,History of American Religion
HIST 3365,The American West
HIST 3366,Themes in the Social History of the United States
HIST 3368,North American Environmental History
HIST 3369,United States Foreign Relations
HIST 3374,American Technological Development
HIST 3376,"American Intellectual History, Colonial to the Civil War"
HIST 3377,"American Intellectual History, Civil War to the Present"
HIST 3379,United States Relations with Latin America
HIST 3380,The Nuclear Age in America
HIST 3382,The United States Since 1945
HIST 3386,World History to 1500
HIST 3387,World History from 1500
HIST 3389,History of Science in the U.S.
HIST 3390,Twentieth Century African-American History
HIST 3391,Modern Mexico
HIST 3396,Native Americans in the Twentieth Century
HIST 3397,Study Abroad in Latin America
HIST 3398,Colonial Latin American History
HIST 3399,Modern Latin American History
HIST 4344,Topics in European History
HIST 4347,Topics in Early Modern European History
HIST 4349,Jewish History
HIST 4357,Topics in African and African-American History
HIST 4358,Topics in Asian History
HIST 4359,Topics in Latin American History
HIST 4360,Topics in American Women's History
HIST 4369,Topics in Borderlands History
HIST 4376,Topics in History
HIST 4377,Topics in Early American History
HIST 4378,Topics in American History
HIST 4379,Topics in Women's and Gender History
HIST 4380,Topics in Intellectual History
HIST 4381,Topics in Comparative History
HIST 4382,Topics in Middle Eastern History
HIST 4383,Topics in U.S. Southern History
HIST 4384,Topics in the History of Religion
HIST 4385,Topics in the History of Science
HIST 4386,Topics in the History of Race or Ethnicity
HIST 4387,Topics in Urban History
HIST 4388,Topics in Holocaust History
HIST 4390,History Capstone Project
HIST 4V71,Independent Study in Historical Studies
HIST 4V99,Senior Honors in Historical Studies
HLTH 1100,Career Explorations for the Health Professions
HLTH 1301,Introduction to Kinesiology
HLTH 1322,Human Nutrition
HLTH 3101,Medical Terminology
HLTH 3300,Pre-Health Professional Development
HLTH 3301,Issues in Geriatric Healthcare
HLTH 3305,The U.S. Healthcare System
HLTH 3306,Gender in Healthcare
HLTH 3310,Health Care Issues: Global Perspectives
HLTH 3315,Issues in Patient Education
HLTH 4108,Verbal Reasoning and Writing for Pre-Health
HLTH 4304,Health Professions Internship
HLTH 4305,Public Health
HLTH 4306,Health and Sport
HLTH 4307,Climate Change in Healthcare
HLTH 4380,Special Topics in Healthcare
HLTH 4V01,Health Professions Independent Study
HMGT 3080,Healthcare Management Honors Program Seminar
HMGT 3100,Professional Development
HMGT 3200,Introduction to Business and Professional Development
HMGT 3301,Introduction to Healthcare Management
HMGT 3310,Healthcare Regulatory Environment
HMGT 3311,Healthcare Accounting
HMGT 3320,Complex and Dynamic Healthcare Environment
HMGT 4090,Healthcare Management Internship
HMGT 4321,Introduction to Healthcare Information Systems
HMGT 4331,Marketing in Healthcare Organizations
HMGT 4351,"Management, Design and Optimization of Healthcare Processes"
HMGT 4392,International Healthcare Management and Leadership
HMGT 4395,Capstone Senior Project - Healthcare Management
HMGT 4V90,Healthcare Management Internship
HONS 3101,"Medicine, Politics, and Philosophy"
HONS 3104,Foreign Film & Political Culture
HONS 3106,Positive Psychology
HONS 3108,Internet and Public Policy
HONS 3110,The Addicted Brain
HONS 3111,Science Fiction
HONS 3112,Contemporary Topics in Business
HONS 3113,Lives of the Genus Genius
HONS 3114,Scientific Research Concepts
HONS 3115,Exploring Research at UT Dallas
HONS 3199,Collegium V Honors Readings
HONS 4V96,Collegium V Honors Capstone
HONS 4V97,Independent Study in Honors
HUMA 1301,Exploration of the Humanities
HUMA 3342,Topics in the Humanities
HUMA 3350,Introduction to Islam
HUMA 3351,Introduction to Islamic Culture
HUMA 4V71,Independent Study in the Humanities
IMS 3091,Regional Management Area Studies: Latin America
IMS 3092,Regional Management Area Studies: Western Europe
IMS 3093,Regional Management Area Studies: Asia
IMS 3094,Regional Management Area Studies: Africa
IMS 3095,Regional Management Area Studies: North America
IMS 3096,Regional Management Area Studies: Eastern Europe
IMS 3100,Professional Development
IMS 3310,International Business
IMS 3V91,Regional Management Area Studies: Latin America
IMS 3V92,Regional Management Area Studies: Western Europe
IMS 3V93,Regional Management Area Studies: Asia
IMS 3V94,Regional Management Area Studies: Africa
IMS 3V95,Regional Management Area Studies: North America
