code,name,prefix
ATCM 4320,Political Economy of Digital Media,ATCM
ATCM 4322,"Disability, Technology, and Media",ATCM
ATCM 4323,"Feminism, Technology, and Media",ATCM
ATCM 4325,"Race, Technology, and Media",ATCM
ATCM 4326,Mediated Textuality,ATCM
ATCM 4327,Privacy and Surveillance,ATCM
ATCM 4330,Culture Jamming,ATCM
ATCM 4332,Critical Media Studies Lab I,ATCM
ATCM 4333,Critical Media Studies Lab II,ATCM
ATCM 4334,Topics in Critical Media Studies,ATCM
ATCM 4337,Interaction Design II,ATCM
ATCM 4338,Motion Graphics II,ATCM
ATCM 4340,Strategic Design,ATCM
ATCM 4345,Digital Audio Processing,ATCM
ATCM 4346,Audio Productions Lab II,ATCM
ATCM 4350,Digital Video Production II,ATCM
ATCM 4357,Digital Fabrication Lab II,ATCM
ATCM 4364,Topics in Design and Production,ATCM
ATCM 4365,Game Design II,ATCM
ATCM 4366,Game Studies II,ATCM
ATCM 4367,Level Design II,ATCM
ATCM 4368,Scripting for Games II,ATCM
ATCM 4370,Virtual Environments II,ATCM
ATCM 4373,Animation for Games,ATCM
ATCM 4374,Interactives Lab,ATCM
ATCM 4375,Game Design III,ATCM
ATCM 4376,Game Production Lab I,ATCM
ATCM 4377,Game Production Lab II,ATCM
ATCM 4379,Topics in Games,ATCM
ATCM 4380,"Communication, Media, and Information Technology",ATCM
ATCM 4384,"Ethics in New Media, Technology, and Communication",ATCM
ATCM 4385,Children and Media,ATCM
ATCM 4386,Journalism in the Networked Age,ATCM
ATCM 4388,Political Communication,ATCM
ATCM 4395,"Advanced Topics in Arts, Technology, and Emerging Media",ATCM
ATCM 4397,Senior Seminar,ATCM
ATCM 4398,Capstone Project,ATCM
ATCM 4399,"Senior Honors in Arts, Technology, and Emerging Communication",ATCM
ATCM 4V96,"Independent Study in Arts, Technology, and Emerging Communication",ATCM
BA 1100,Business Basics,BA
BA 1310,Making Choices in Free Market Systems,BA
BA 1320,Business in a Global World,BA
BA 3100,Professional Development,BA
BA 3200,Introduction to Business and Professional Development,BA
BA 3300,Advanced Topics in Capitalism: Ideas and Challenges That Shape Our World,BA
BA 4010,ENACTUS Participation,BA
BA 4070,Conference Attendance US,BA
BA 4071,Conference Attendance International,BA
BA 4072,Conference Presentation US,BA
BA 4073,Conference Presentation International,BA
BA 4074,Student Leadership and Mentoring,BA
BA 4080,Participation in Internal Competition,BA
BA 4081,Participation in Local Competition,BA
BA 4082,Participation in Regional Competition,BA
BA 4083,Participation in National Competition,BA
BA 4090,Management Internship,BA
BA 4095,Social Sector Engagement and Community Outreach Practicum,BA
BA 4101,Careers in Management,BA
BA 4V00,Special Topics,BA
BA 4V10,ENACTUS Service,BA
BA 4V90,Management Internship,BA
BBSU 1100,First Year Seminar,BBSU
BBSU 3310,Community-Based Service Learning,BBSU
BCOM 1300,Introduction to Professionalism and Communication in Business,BCOM
BCOM 3100,Professional Development,BCOM
BCOM 3200,Introduction to Business and Professional Development,BCOM
BCOM 3300,Professionalism and Communication in Business,BCOM
BCOM 3310,Business Communication,BCOM
BCOM 4300,Managing Communications in Business,BCOM
BCOM 4310,Strategic Business Communications,BCOM
BCOM 4350,Advanced Business Communication,BCOM
BIOL 1300,Body Systems with Lab,BIOL
BIOL 1318,Human Genetics,BIOL
BIOL 1350,Body Systems,BIOL
BIOL 1V00,Topics in Biological Sciences,BIOL
BIOL 1V01,Topics in Biological Sciences with Lab,BIOL
BIOL 1V95,Individual Instruction in Biology,BIOL
BIOL 2111,Introduction to Modern Biology Workshop I,BIOL
BIOL 2112,Introduction to Modern Biology Workshop II,BIOL
BIOL 2281,Introductory Biology Laboratory,BIOL
BIOL 2311,Introduction to Modern Biology I,BIOL
BIOL 2312,Introduction to Modern Biology II,BIOL
BIOL 2350,Biological Basis of Health and Disease,BIOL
BIOL 2V00,Topics in Biological Sciences,BIOL
BIOL 2V01,Topics in Biological Sciences with Lab,BIOL
BIOL 2V95,Individual Instruction in Biology,BIOL
BIOL 3101,Classical and Molecular Genetics Workshop,BIOL
BIOL 3102,Eukaryotic Molecular and Cell Biology Workshop,BIOL
BIOL 3161,Biochemistry Workshop I,BIOL
BIOL 3162,Biochemistry Workshop II,BIOL
BIOL 3301,Classical and Molecular Genetics,BIOL
BIOL 3302,Eukaryotic Molecular and Cell Biology,BIOL
BIOL 3303,Introduction to Microbiology,BIOL
BIOL 3305,Evolutionary Analysis,BIOL
BIOL 3312,Introduction to Programming for Biological Sciences,BIOL
BIOL 3315,Epigenetics,BIOL
BIOL 3318,Forensic Biology,BIOL
BIOL 3320,Applied Genetics,BIOL
BIOL 3335,Microbial Physiology,BIOL
BIOL 3336,Protein and Nucleic Acid Structure,BIOL
BIOL 3351,Medical Cell Biology,BIOL
BIOL 3355,Clinical Pathophysiology,BIOL
BIOL 3357,Mammalian Physiology with Lab,BIOL
BIOL 3361,Biochemistry I,BIOL
BIOL 3362,Biochemistry II,BIOL
BIOL 3370,Exercise Physiology,BIOL
BIOL 3380,Biochemistry Laboratory,BIOL
BIOL 3385,Medical Histology,BIOL
BIOL 3388,Honey Bee Biology,BIOL
BIOL 3455,Human Anatomy and Physiology with Lab I,BIOL
BIOL 3456,Human Anatomy and Physiology with Lab II,BIOL
BIOL 3520,General Microbiology with Lab,BIOL
BIOL 3V00,Topics in Biological Sciences,BIOL
BIOL 3V01,Topics in Biological Sciences with Lab,BIOL
BIOL 3V15,Research Practicum for UT-PACT,BIOL
BIOL 3V40,Topics in Molecular and Cell Biology,BIOL
BIOL 3V81,Clinical Medicine I,BIOL
BIOL 3V82,Clinical Medicine II,BIOL
BIOL 3V83,Clinical Medicine III,BIOL
BIOL 3V84,Clinical Medicine IV,BIOL
BIOL 3V90,Undergraduate Readings in Biology,BIOL
BIOL 3V91,Undergraduate Research in Biology,BIOL
BIOL 3V93,Undergraduate Research in Biochemistry,BIOL
BIOL 3V94,Topics in Biology: Individual Instruction,BIOL
BIOL 3V96,Undergraduate Research in Molecular and Cell Biology,BIOL
BIOL 4302,TA Apprenticeship,BIOL
BIOL 4305,Molecular Evolution,BIOL
BIOL 4310,Cellular Microbiology,BIOL
BIOL 4315,"Genes, Disease and Therapeutics",BIOL
BIOL 4317,Cellular and Molecular Medicine of Human Diseases,BIOL
BIOL 4320,Cell Migration in Health and Disease,BIOL
BIOL 4325,Nutrition and Metabolism,BIOL
BIOL 4330,Advanced Research in Molecular and Cell Biology,BIOL
BIOL 4337,Seminal Papers in Biology,BIOL
BIOL 4341,Genomics,BIOL
BIOL 4345,Immunobiology,BIOL
BIOL 4350,Medical Microbiology,BIOL
BIOL 4353,Molecular Biology of HIV/AIDS,BIOL
BIOL 4356,Molecular Neuropathology,BIOL
BIOL 4357,Molecular Neuropathology II,BIOL
BIOL 4360,Evolution and Development,BIOL
BIOL 4365,Advanced Human Physiology,BIOL
BIOL 4366,Molecular Biology of Cancer,BIOL
BIOL 4371,General and Molecular Virology,BIOL
BIOL 4380,Cell and Molecular Biology Laboratory,BIOL
BIOL 4385,Oral Histology and Embryology,BIOL
BIOL 4390,Senior Readings in Molecular and Cell Biology,BIOL
BIOL 4391,Senior Research in Molecular and Cell Biology,BIOL
BIOL 4399,Senior Honors Research for Thesis in Molecular and Cell Biology,BIOL
BIOL 4461,Biophysical Chemistry,BIOL
BIOL 4V00,Special Topics in Biology,BIOL
BIOL 4V01,Topics in Biological Sciences with Lab,BIOL
BIOL 4V40,Special Topics in Molecular and Cell Biology,BIOL
BIOL 4V95,Advanced Topics in Biology,BIOL
BIOL 4V99,Senior Honors Research in Molecular and Cell Biology,BIOL
BIS 1100,Interdisciplinary Studies Freshman Seminar,BIS
BIS 2190,Library Research Skills,BIS
BIS 2V90,Topics in Interdisciplinary Studies,BIS
BIS 3320,The Nature of Intellectual Inquiry,BIS
BIS 3V03,Educational Issues,BIS
BIS 4303,Senior Honors in Interdisciplinary Studies,BIS
BIS 4306,Strategies for Diversity in Education,BIS
BIS 4310,Co-op Education,BIS
BIS 4V01,Special Topics,BIS
BIS 4V02,Independent Study,BIS
BIS 4V04,Internship,BIS
BLAW 2301,Business and Public Law,BLAW
BLAW 3301,Employment Law,BLAW
BLAW 4301,International Law,BLAW
BLAW 4305,Introduction to Patent Law,BLAW
BLAW 4310,Current Issues in Business and Law,BLAW
BMEN 1100,Introduction to Bioengineering I,BMEN
BMEN 1208,Introduction to Bioengineering II,BMEN
BMEN 2320,Statics,BMEN
BMEN 2V99,Topics in Biomedical Engineering,BMEN
BMEN 3110,Biomedical Transport Processes Laboratory,BMEN
BMEN 3120,Biomedical Circuits and Instrumentation Laboratory,BMEN
BMEN 3130,Engineering Physiology Laboratory,BMEN
BMEN 3150,Biomedical Engineering Laboratory,BMEN
BMEN 3170,Digital Circuits Laboratory,BMEN
BMEN 3200,Biomedical Engineering Fundamentals and Design,BMEN
BMEN 3220,Electrical and Electronic Circuits in Biomedical Engineering Lab,BMEN
BMEN 3302,Bioengineering Signals and Systems,BMEN
BMEN 3310,Fluid Mechanics and Transport Processes in Biomedical Engineering,BMEN
BMEN 3315,Thermodynamics and Physical Chemistry in Biomedical Engineering,BMEN
BMEN 3318,Introduction to Engineered Biomaterials,BMEN
BMEN 3320,Electrical and Electronic Circuits in Biomedical Engineering,BMEN
BMEN 3325,Advanced Computational Tools for Biomedical Engineering,BMEN
BMEN 3330,Engineering Physiology of the Human Body,BMEN
BMEN 3331,Cell and Molecular Engineering,BMEN
BMEN 3332,Quantitative Physiology for Engineers,BMEN
BMEN 3350,Biomedical Component and System Design,BMEN
BMEN 3360,Thermodynamics,BMEN
BMEN 3370,Digital Circuits,BMEN
BMEN 3380,Medical Imaging Systems and Methods,BMEN
BMEN 3399,Introductory Biomechanics,BMEN
BMEN 3402,Signals and Systems for Biomedical Engineering,BMEN
BMEN 3V99,Topics in Biomedical Engineering,BMEN
BMEN 4110,Biomedical Feedback Systems Laboratory,BMEN
BMEN 4301,Introduction to Medical Device Development,BMEN
BMEN 4310,Feedback Systems in Biomedical Engineering,BMEN
BMEN 4320,Intermediate Electrical Systems,BMEN
BMEN 4342,Introduction to Robotics,BMEN
BMEN 4350,Applied Sensor Technology,BMEN
BMEN 4355,Finite Element Analysis in Biomedical Engineering,BMEN
BMEN 4360,Biomaterials and Medical Devices,BMEN
BMEN 4370,Biomedical Image Processing,BMEN
BMEN 4375,Biomedical Engineering Data Analysis,BMEN
BMEN 4388,Senior Design Project I,BMEN
BMEN 4389,Senior Design Project II,BMEN
BMEN 4399,Senior Honors in Biomedical Engineering,BMEN
BMEN 4V95,Undergraduate Topics in Biomedical Engineering,BMEN
BMEN 4V97,Independent Study in Biomedical Engineering,BMEN
BMEN 4V98,Engineering Practicum,BMEN
BPS 4305,Strategic Management,BPS
BPS 4307,"Corporations, Politics and Society",BPS
BPS 4395,Capstone Senior Project - Business,BPS
CGS 2301,Cognitive Science,CGS
CGS 3325,Historical Perspectives on Psychology: Mind and Machines since 1600,CGS
CGS 3340,Experimental Projects in Cognitive Science,CGS
CGS 3342,Cognitive and Neural Modeling Laboratory,CGS
CGS 3361,Cognitive Psychology,CGS
CGS 4193,Internship Preparation,CGS
CGS 4314,Intelligent Systems Analysis,CGS
CGS 4315,Intelligent Systems Design,CGS
CGS 4320,Psychology of Reasoning,CGS
CGS 4352,Human Computer Interactions I,CGS
CGS 4353,Human Computer Interactions II,CGS
CGS 4359,Cognitive Neuroscience,CGS
CGS 4362,Perception,CGS
CGS 4364,Attention and Memory,CGS
CGS 4385,Neuropsychology,CGS
CGS 4386,Adult Development and Aging,CGS
CGS 4389,Developmental Cognitive Neuroscience,CGS
CGS 4390,Directed Research and Writing,CGS
CGS 4391,Writing and Independent Study,CGS
CGS 4394,Internship in Cognitive Science,CGS
CGS 4395,Co-op Fieldwork,CGS
CGS 4397,Thesis Research,CGS
CGS 4V75,Honors Seminar,CGS
CGS 4V90,Special Topics in Cognitive Science,CGS
CGS 4V96,Teaching Internship,CGS
CGS 4V98,Directed Research,CGS
CGS 4V99,Individual Study,CGS
CHEM 1111,General Chemistry Laboratory I,CHEM
CHEM 1112,General Chemistry Laboratory II,CHEM
CHEM 1115,Honors Freshman Chemistry Laboratory I,CHEM
CHEM 1116,Honors Freshman Chemistry Laboratory II,CHEM
CHEM 1301,General Chemistry for Engineers,CHEM
CHEM 1311,General Chemistry I,CHEM
CHEM 1312,General Chemistry II,CHEM
CHEM 1315,Honors Freshman Chemistry I,CHEM
CHEM 1316,Honors Freshman Chemistry II,CHEM
CHEM 2123,Introductory Organic Chemistry Laboratory I,CHEM
CHEM 2125,Introductory Organic Chemistry Laboratory II,CHEM
CHEM 2127,Honors Organic Chemistry Laboratory I,CHEM
CHEM 2128,Honors Organic Chemistry Laboratory II,CHEM
CHEM 2130,Introductory Organic Chemistry for Medical Science Laboratory,CHEM
CHEM 2323,Introductory Organic Chemistry I,CHEM
CHEM 2324,Introductory Organic Chemistry for Engineers,CHEM
CHEM 2325,Introductory Organic Chemistry II,CHEM
CHEM 2327,Honors Organic Chemistry I,CHEM
CHEM 2328,Honors Organic Chemistry II,CHEM
CHEM 2330,Introductory Organic Chemistry for Medical Science,CHEM
CHEM 2401,Introductory Quantitative Methods in Chemistry,CHEM
CHEM 2V01,Topics in Chemistry,CHEM
CHEM 3321,Physical Chemistry I,CHEM
CHEM 3322,Physical Chemistry II,CHEM
CHEM 3341,Inorganic Chemistry I,CHEM
CHEM 3361,Biochemistry I,CHEM
CHEM 3362,Biochemistry II,CHEM
CHEM 3471,Advanced Chemical Synthesis Laboratory,CHEM
CHEM 3472,Instrumental Analysis,CHEM
CHEM 3V92,Undergraduate Research in Biochemistry,CHEM
CHEM 4335,Polymer Chemistry,CHEM
CHEM 4355,Computational Modeling,CHEM
CHEM 4381,Green Chemistry and Green Fuels,CHEM
CHEM 4390,Research and Advanced Writing in Chemistry,CHEM
CHEM 4399,Research and Advanced Writing in Chemistry for Honors Students,CHEM
CHEM 4473,Physical Measurements Laboratory,CHEM
CHEM 4V01,Topics in Chemistry,CHEM
CHEM 4V91,Research in Chemistry,CHEM
CHIN 1311,Beginning Chinese I,CHIN
CHIN 1312,Beginning Chinese II,CHIN
CHIN 2311,Intermediate Chinese I,CHIN
CHIN 2312,Intermediate Chinese II,CHIN
CHIN 2350,Business Chinese,CHIN
CHIN 3330,Medical Chinese,CHIN
CHIN 3365,Advanced Chinese I,CHIN
CHIN 4301,Advanced Chinese Conversation,CHIN
CHIN 4364,Advanced Chinese Culture,CHIN
CLDP 2314,Lifespan Development,CLDP
CLDP 3303,Normal Language Development,CLDP
CLDP 3305,Language and Literacy Development,CLDP
CLDP 3310,Child Development,CLDP
CLDP 3332,Social and Personality Development,CLDP
CLDP 3336,Infancy,CLDP
CLDP 3338,Adolescence,CLDP
CLDP 3339,Educational Psychology,CLDP
CLDP 3342,Exceptional Children,CLDP
CLDP 3343,Children in a Changing World,CLDP
CLDP 3362,Cognitive Development,CLDP
CLDP 3365,Child Learning,CLDP
CLDP 3366,Motivation and Achievement,CLDP
CLDP 3394,Research and Evaluation Methods,CLDP
CLDP 3494,Research and Evaluation Methods,CLDP
CLDP 4193,Internship Preparation,CLDP
CLDP 4308,Language Disorders in Children,CLDP
CLDP 4344,Child Psychopathology,CLDP
CLDP 4345,Violence in the Family,CLDP
CLDP 4347,Marriage and Family Psychology,CLDP
CLDP 4389,Developmental Cognitive Neuroscience,CLDP
CLDP 4390,Directed Research and Writing,CLDP
CLDP 4391,Individual Study and Writing,CLDP
CLDP 4394,Internship,CLDP
CLDP 4395,Co-op Fieldwork,CLDP
CLDP 4397,Thesis Research,CLDP
CLDP 4V75,Honors Seminar,CLDP
CLDP 4V90,Special Topics in Child Learning and Development,CLDP
CLDP 4V96,Teaching Internship,CLDP
CLDP 4V98,Directed Research,CLDP
CLDP 4V99,Individual Study,CLDP
COMM 1311,Survey of Oral and Technology-based Communication,COMM
COMM 1315,Public Speaking,COMM
COMM 1320,Interpersonal Communication,COMM
COMM 2314,Oral Interpretation,COMM
COMM 2317,Topics in Communication,COMM
COMM 2V71,Independent Study in Communications,COMM
COMM 3320,Readers' Theater,COMM
COMM 3321,Advanced Public Speaking,COMM
COMM 3340,Small Group Communication,COMM
COMM 3342,Advanced Topics in Communication,COMM
COMM 3350,Intercultural Communication,COMM
COMM 3351,History and Theory of Communication,COMM
COMM 3352,Media and Culture,COMM
COMM 4305,Communications Law,COMM
COMM 4314,Persuasion and Interpersonal Influence,COMM
COMM 4360,Communication Ethics,COMM
COMM 4370,Communication and Leadership,COMM
COMM 4371,Communication and Professionalism,COMM
COMM 4375,Professional Communication in Medicine,COMM
COMM 4V71,Advanced Independent Study in Communication,COMM
CRIM 1301,Introduction to Criminal Justice,CRIM
CRIM 1307,Introduction to Crime and Criminology,CRIM
CRIM 2306,Criminal Law,CRIM
CRIM 2308,Juvenile Law,CRIM
CRIM 2313,Police and Society,CRIM
CRIM 2316,Corrections,CRIM
CRIM 2317,Criminal Prosecution and Court Process,CRIM
CRIM 3300,Crime and Civil Liberties,CRIM
CRIM 3301,Theories of Justice,CRIM
CRIM 3302,Advanced Criminology,CRIM
CRIM 3303,Advanced Criminal Justice,CRIM
CRIM 3304,Research Methods in Crime and Justice Studies,CRIM
CRIM 3307,Immigration and Crime,CRIM
CRIM 3309,Media and Crime,CRIM
CRIM 3310,Youth Crime and Justice,CRIM
CRIM 3311,"American Crime: Truths, Half-Truths, and Lies",CRIM
CRIM 3312,Drugs and Crime,CRIM
CRIM 3319,Comparative Justice Systems,CRIM
CRIM 3320,Homicide and Capital Punishment,CRIM
CRIM 3323,Violence and Gun Control,CRIM
CRIM 3324,"Gender, Crime, and Justice",CRIM
CRIM 3325,Victimology,CRIM
CRIM 3326,Victimless Crimes,CRIM
CRIM 3327,Violent Crime,CRIM
CRIM 4311,Crime and Justice Policy,CRIM
CRIM 4315,"Race, Ethnicity, and Justice",CRIM
CRIM 4322,Senior Research Seminar,CRIM
CRIM 4323,Communities and Crime,CRIM
CRIM 4324,White Collar Crime,CRIM
CRIM 4336,Introduction to Terrorism,CRIM
CRIM 4337,Landmark Supreme Court Cases,CRIM
CRIM 4396,Selected Topics in Criminology,CRIM
CRIM 4V97,Independent Study in Criminology,CRIM
CRIM 4V98,Internship in Criminology,CRIM
CRIM 4V99,Senior Honors in Criminology,CRIM
CRWT 2301,Introduction to Creative Writing,CRWT
CRWT 2V71,Independent Study in Creative Writing,CRWT
CRWT 3306,Fiction Workshop,CRWT
CRWT 3308,Nonfiction Workshop,CRWT
CRWT 3330,Translation Workshop,CRWT
CRWT 3351,Poetry Workshop,CRWT
CRWT 3354,Screenwriting,CRWT
CRWT 4307,Advanced Fiction Workshop,CRWT
CRWT 4353,Advanced Poetry Workshop,CRWT
CRWT 4V71,Independent Study in Creative Writing,CRWT
DANC 1305,Introduction to World Dance Forms,DANC
DANC 1310,Understanding Dance,DANC
DANC 2311,Topics in Dance,DANC
DANC 2321,"Stretch, Conditioning, Alignment",DANC
DANC 2331,Dance Technique 1,DANC
DANC 2332,Modern Dance 1,DANC
DANC 2333,Jazz Dance 1,DANC
DANC 2334,Ballet 1,DANC
DANC 2336,Tap Dance 1,DANC
DANC 2V71,Independent Study in Dance,DANC
DANC 3332,Dance Technique 2,DANC
DANC 3333,Modern Dance 2,DANC
DANC 3334,Jazz Dance 2,DANC
DANC 3335,Ballet 2,DANC
DANC 3336,Latin Social Dance,DANC
DANC 3340,Dance in Historical Context,DANC
DANC 3342,Advanced Topics in Dance,DANC
DANC 3345,Dance Performance,DANC
DANC 3347,Dance Composition,DANC
DANC 4313,Dance Technique 3,DANC
DANC 4314,Modern Dance 3,DANC
DANC 4315,Ballet 3,DANC
DANC 4316,Jazz Dance 3,DANC
DANC 4317,Dance Performance 2,DANC
DANC 4318,Dance Technique 4,DANC
DANC 4V71,Independent Study in Dance,DANC
ECON 2001,Principles of Macroeconomics: Recitation,ECON
ECON 2301,Principles of Macroeconomics,ECON
ECON 2302,Principles of Microeconomics,ECON
ECON 3310,Intermediate Microeconomic Theory,ECON
ECON 3311,Intermediate Macroeconomic Theory,ECON
ECON 3312,Money and Banking,ECON
ECON 3315,Sports Economics,ECON
ECON 3330,Economics of Health,ECON
ECON 3332,Economic Geography,ECON
ECON 3336,Economics of Education,ECON
ECON 3337,Economics of Poverty and Inequality,ECON
ECON 3369,Political Economy of Terrorism,ECON
ECON 3381,Economic History,ECON
ECON 4301,Game Theory,ECON
ECON 4302,Urban and Regional Economics,ECON
ECON 4310,Managerial Economics,ECON
ECON 4320,Public Sector Economics,ECON
ECON 4330,Law and Economics,ECON
ECON 4332,Energy and Natural Resources Economics,ECON
ECON 4333,Environmental Economics,ECON
ECON 4334,Experimental Economics,ECON
ECON 4336,Environmental Economic Theory and Policy,ECON
ECON 4340,Labor Economics and Human Resources,ECON
ECON 4342,Public Policies Toward Business,ECON
ECON 4345,Industrial Organization,ECON
ECON 4346,"Technology, Economy, and Society",ECON
ECON 4348,Business and Technology,ECON
ECON 4351,Mathematical Economics,ECON
ECON 4355,Econometrics,ECON
ECON 4360,International Trade,ECON
ECON 4362,Development Economics,ECON
ECON 4381,History of Economic Ideas,ECON
ECON 4382,International Finance,ECON
ECON 4385,Business and Economic Forecasting,ECON
ECON 4396,Selected Topics in Economics,ECON
ECON 4V97,Independent Study in Economics,ECON
ECON 4V98,Internship,ECON
ECON 4V99,Senior Honors in Economics,ECON
ECS 1100,Introduction to Engineering and Computer Science,ECS
ECS 2361,Social Issues and Ethics in Science and Technology,ECS
ECS 3301,Introduction to Nanoscience and Nanotechnology,ECS
ECS 3310,Introduction to Materials Science,ECS
ECS 3390,Professional and Technical Communication,ECS
ECSC 3177,CS IPP Assignment,ECSC
ECSC 3179,ENG IPP Assignment,ECSC
ECSC 4300,Student Apprenticeship and Mentoring,ECSC
ECSC 4378,Professional Industrial Practice Program,ECSC
ED 3314,The American Public School,ED
ED 3315,Children's Literature,ED
ED 3339,Educational Psychology for Teachers,ED
ED 3340,Math Concepts for Teachers,ED
ED 3342,Classroom Management Grades EC - 6,ED
ED 3345,"Art, Music, and Physical Development Grades EC - 6",ED
ED 3370,Curriculum and Instruction in Mathematics and Computer Science,ED
ED 3371,Curriculum and Instruction in the Natural Sciences,ED
ED 3380,Curriculum and Instruction in English,ED
ED 3382,Curriculum and Instruction in Social Studies,ED
ED 4343,Science Methods for Grades EC - 6,ED
ED 4344,Mathematics Methods for Elementary Teachers,ED
ED 4345,Social Studies Methods for Grades EC - 6,ED
ED 4351,ESL for K-12 Teachers,ED
ED 4352,Reading I: Learning to Read,ED
ED 4353,Reading in Secondary Content,ED
ED 4357,Diagnostic Reading,ED
ED 4358,Chess I: Using Chess in Schools,ED
ED 4359,Chess II: Institutional and Cultural Contexts of Chess,ED
ED 4361,Classroom Management Secondary,ED
ED 4363,Reading II/ELAR Methods,ED
ED 4372,Educational Technology,ED
ED 4693,Student Teaching - Elementary,ED
ED 4694,Student Teaching Secondary,ED
ED 4V90,Independent Study in Education,ED
ED 4V95,Special Topics in Education,ED
ENGR 2300,Linear Algebra for Engineers,ENGR
ENGR 3300,Advanced Engineering Mathematics,ENGR
ENGR 3341,Probability Theory and Statistics,ENGR
ENGY 3300,Introduction to Energy Technology,ENGY
ENGY 3301,"Managing Carbon Assets: Oil, Gas, and Coal",ENGY
ENGY 3302,Managing Power and Renewable Energy Assets; Sustainability,ENGY
ENGY 3330,Energy Economics,ENGY
ENGY 3340,Energy Law and Contracts,ENGY
ENGY 4300,Energy Land Management,ENGY
ENGY 4313,Energy Finance,ENGY
ENTP 3301,Innovation and Entrepreneurship,ENTP
ENTP 3320,Start-up Launch I,ENTP
ENTP 3321,Start-up Launch II,ENTP
ENTP 3360,Entrepreneurial Finance,ENTP
ENTP 4090,Innovation and Entrepreneurship Internship,ENTP
ENTP 4311,Entrepreneurial Strategy and Business Models,ENTP
ENTP 4320,Small Business Management,ENTP
ENTP 4330,Entrepreneurial Marketing,ENTP
ENTP 4331,Digital Prospecting,ENTP
ENTP 4335,Digital and Internet Marketing,ENTP
ENTP 4340,Social Sector Entrepreneurship and Community Engagement,ENTP
ENTP 4350,Corporate Entrepreneurship,ENTP
ENTP 4360,Innovation and Creativity,ENTP
ENTP 4395,Capstone Senior Project - Entrepreneurship,ENTP
ENTP 4V00,Special Topics in Entrepreneurship,ENTP
ENTP 4V90,Innovation and Entrepreneurship Internship,ENTP
